
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
17:11:43:586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:588,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:588,0.0255,-0.0429,0.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:589,0.0255,-0.0429,0.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:600,0.0255,-0.0429,0.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:601,0.0255,-0.0429,0.1770,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:603,0.0295,-0.0174,-0.0798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:604,0.0295,-0.0174,-0.0798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:605,-0.0337,0.0537,-0.3085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:606,-0.0337,0.0537,-0.3085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:607,-0.0358,0.0439,-0.2118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:608,-0.0358,0.0439,-0.2118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:608,-0.0358,0.0439,-0.2118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:609,-0.0358,0.0439,-0.2118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:610,0.0529,0.1100,-0.1594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:611,0.0529,0.1100,-0.1594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:612,0.0529,0.1100,-0.1594,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:613,0.0244,0.1859,-0.0724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:614,0.0244,0.1859,-0.0724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:615,0.0244,0.1859,-0.0724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:616,-0.0122,0.1160,-0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:617,-0.0122,0.1160,-0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:620,-0.0122,0.1160,-0.0587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:621,-0.0452,0.1013,-0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:622,-0.0452,0.1013,-0.0102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:628,0.0197,-0.0125,-0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:629,0.0197,-0.0125,-0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:629,0.0197,-0.0125,-0.0226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:630,0.0642,-0.0389,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:631,0.0642,-0.0389,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:631,0.0642,-0.0389,0.0104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:635,0.0644,-0.0389,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:636,0.0644,-0.0389,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:638,0.0644,-0.0389,-0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:643,0.0457,0.0005,-0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:644,0.0457,0.0005,-0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:11:43:645,0.0457,0.0005,-0.0064,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
