
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
17:02:38:454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:455,0.0451,0.0751,-0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:456,0.0451,0.0751,-0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:458,0.0451,0.0751,-0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:472,-0.0971,0.0784,-0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:474,-0.0971,0.0784,-0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:475,-0.0971,0.0784,-0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:476,-0.0971,0.0784,-0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:477,-0.1351,0.0211,-0.0439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:478,-0.1351,0.0211,-0.0439,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:479,0.0076,0.1125,-0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:481,0.0076,0.1125,-0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:482,0.0076,0.1125,-0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:483,0.0076,0.1125,-0.0177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:484,-0.0067,0.0317,-0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:485,-0.0067,0.0317,-0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:486,-0.1228,-0.0309,0.0148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:487,-0.1228,-0.0309,0.0148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:488,-0.1228,-0.0309,0.0148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:489,-0.0451,-0.0396,-0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:490,-0.0451,-0.0396,-0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:491,-0.0451,-0.0396,-0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:492,-0.0451,-0.0396,-0.0185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:493,0.0645,0.0090,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:494,0.0645,0.0090,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:495,0.0645,0.0090,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:496,0.0401,-0.0586,0.0646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:498,0.0401,-0.0586,0.0646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:505,-0.0498,-0.0128,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:506,-0.0498,-0.0128,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:507,-0.0498,-0.0128,-0.0047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:508,-0.0247,-0.0592,-0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:509,-0.0247,-0.0592,-0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:510,-0.0247,-0.0592,-0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:511,-0.0247,-0.0592,-0.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:512,0.0374,-0.1165,-0.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:514,0.0374,-0.1165,-0.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:516,0.0374,-0.1165,-0.1240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:517,0.1111,-0.1402,-0.0734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:518,0.1111,-0.1402,-0.0734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:523,0.1111,-0.1402,-0.0734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:02:38:524,0.1111,-0.1402,-0.0734,-0.0060,-0.0020,0.0037,0.0000,0.0000,0.0000,
17:02:38:525,0.1444,0.0249,0.0714,-0.0060,-0.0020,0.0037,0.0000,0.0000,0.0000,
17:02:38:526,0.1444,0.0249,0.0714,-0.0060,-0.0020,0.0037,0.0000,0.0000,0.0000,
17:02:38:526,0.0489,0.0389,0.0925,-0.0060,-0.0020,0.0037,0.0000,0.0000,0.0000,
17:02:38:527,0.0489,0.0389,0.0925,-0.0060,-0.0020,0.0037,0.0000,0.0000,0.0000,
17:02:38:527,0.0489,0.0389,0.0925,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:528,0.0489,0.0389,0.0925,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:531,0.0489,0.0389,0.0925,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:532,-0.1027,0.0095,-0.0262,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:533,-0.1027,0.0095,-0.0262,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:535,-0.1027,0.0095,-0.0262,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:536,0.0040,-0.0662,-0.0885,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:537,0.0040,-0.0662,-0.0885,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:539,0.0974,0.0821,-0.0060,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:540,0.0974,0.0821,-0.0060,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:542,0.0974,0.0821,-0.0060,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:548,0.0138,0.0940,-0.0540,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:550,0.0138,0.0940,-0.0540,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:551,0.0138,0.0940,-0.0540,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:552,-0.1105,-0.0218,-0.0575,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:553,-0.1105,-0.0218,-0.0575,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:554,-0.1105,-0.0218,-0.0575,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:555,-0.1105,-0.0218,-0.0575,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:556,-0.0817,-0.0393,-0.0191,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:557,-0.0817,-0.0393,-0.0191,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:561,-0.0817,-0.0393,-0.0191,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:563,0.0186,-0.0256,0.0444,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:564,0.0186,-0.0256,0.0444,-0.0060,-0.0020,0.0037,-2.9190,-17.7460,19.7128,
17:02:38:565,0.0186,-0.0256,0.0444,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:566,0.0494,-0.0157,0.0853,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:567,0.0494,-0.0157,0.0853,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:568,0.0494,-0.0157,0.0853,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:571,0.0494,-0.0157,0.0853,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:573,-0.0058,-0.0193,0.0016,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:574,-0.0058,-0.0193,0.0016,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:575,-0.0046,-0.0696,0.0148,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:576,-0.0046,-0.0696,0.0148,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:578,-0.0046,-0.0696,0.0148,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:582,0.0599,-0.0112,-0.0905,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:584,0.0599,-0.0112,-0.0905,-0.0060,-0.0020,0.0037,-2.5482,-18.7943,18.6874,
17:02:38:586,0.0599,-0.0112,-0.0905,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:586,0.0599,-0.0112,-0.0905,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:587,0.0599,-0.0112,-0.0905,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:588,0.1244,-0.0379,-0.1490,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:589,0.1244,-0.0379,-0.1490,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:590,0.0779,-0.1302,-0.1383,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:591,0.0779,-0.1302,-0.1383,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:593,0.0779,-0.1302,-0.1383,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:596,0.0678,-0.0347,-0.0287,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:598,0.0678,-0.0347,-0.0287,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:599,0.0678,-0.0347,-0.0287,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:600,0.0678,-0.0347,-0.0287,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:601,0.0266,0.1872,0.0747,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:604,0.0266,0.1872,0.0747,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:606,0.0266,0.1872,0.0747,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:607,-0.1132,0.1316,0.0868,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:610,-0.1132,0.1316,0.0868,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:613,-0.1132,0.1316,0.0868,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:614,-0.0547,0.1573,-0.0070,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:615,-0.0547,0.1573,-0.0070,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:618,0.0032,0.0573,-0.1984,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:619,0.0032,0.0573,-0.1984,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:620,0.0032,0.0573,-0.1984,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:622,0.0489,0.0286,-0.2459,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:623,0.0489,0.0286,-0.2459,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:623,0.0489,0.0286,-0.2459,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:626,0.0489,0.0286,-0.2459,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:626,-0.0137,0.0148,-0.0853,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:628,-0.0137,0.0148,-0.0853,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:632,-0.0137,0.0148,-0.0853,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:632,-0.0463,0.1202,0.0135,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:634,-0.0463,0.1202,0.0135,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:636,-0.0463,0.1202,0.0135,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:637,-0.0180,0.0860,0.0996,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:639,-0.0180,0.0860,0.0996,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:641,-0.0729,0.0722,0.0414,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:642,-0.0729,0.0722,0.0414,0.0005,0.0008,-0.0000,-2.5482,-18.7943,18.6874,
17:02:38:642,-0.0729,0.0722,0.0414,0.0005,0.0008,-0.0000,-2.9846,-18.9972,18.9484,
17:02:38:643,-0.0729,0.0722,0.0414,0.0005,0.0008,-0.0000,-2.9846,-18.9972,18.9484,
17:02:38:647,-0.0992,0.0074,-0.0341,0.0005,0.0008,-0.0000,-2.9846,-18.9972,18.9484,
17:02:38:648,-0.0992,0.0074,-0.0341,0.0005,0.0008,-0.0000,-2.9846,-18.9972,18.9484,
17:02:38:649,-0.0992,0.0074,-0.0341,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:650,-0.0992,0.0074,-0.0341,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:651,-0.0839,0.0371,-0.0125,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:653,-0.0839,0.0371,-0.0125,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:654,-0.0839,0.0371,-0.0125,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:656,-0.0417,0.0132,-0.0277,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:657,-0.0417,0.0132,-0.0277,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:659,-0.0417,0.0132,-0.0277,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:662,-0.0417,0.0132,-0.0277,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:662,-0.0333,-0.0161,-0.0201,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:666,-0.0333,-0.0161,-0.0201,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:668,-0.0333,-0.0161,-0.0201,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:668,0.0047,-0.0711,-0.0291,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:670,0.0047,-0.0711,-0.0291,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:672,0.0047,-0.0711,-0.0291,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:673,0.0493,-0.0913,0.0120,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:674,0.0493,-0.0913,0.0120,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:677,0.0493,-0.0913,0.0120,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:678,0.0235,-0.0760,0.0954,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:683,0.0235,-0.0760,0.0954,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:685,0.0417,-0.0444,0.0701,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:686,0.0417,-0.0444,0.0701,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:687,0.0417,-0.0444,0.0701,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:688,0.0041,-0.0359,0.0736,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:689,0.0041,-0.0359,0.0736,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:690,0.0041,-0.0359,0.0736,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:692,0.0298,-0.0195,0.0127,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
17:02:38:693,0.0298,-0.0195,0.0127,-0.0048,0.0133,0.0005,-2.9846,-18.9972,18.9484,
