
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
17:04:26:908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:909,-0.0718,0.0260,0.2423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:910,-0.0718,0.0260,0.2423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:910,-0.0718,0.0260,0.2423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:911,-0.0600,0.0103,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:927,-0.0600,0.0103,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:929,-0.0600,0.0103,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:929,-0.0600,0.0103,0.0461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:930,-0.0174,-0.0317,-0.1150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:931,-0.0174,-0.0317,-0.1150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:932,0.0492,-0.0218,-0.2509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:933,0.0492,-0.0218,-0.2509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:933,0.0492,-0.0218,-0.2509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:934,0.0152,-0.0018,-0.1808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:935,0.0152,-0.0018,-0.1808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:936,0.0152,-0.0018,-0.1808,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:937,-0.0450,0.0424,-0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:939,-0.0450,0.0424,-0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:941,-0.0450,0.0424,-0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:941,-0.0502,0.0209,0.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:944,-0.0502,0.0209,0.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:945,-0.0502,0.0209,0.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:946,-0.0232,-0.0151,0.0777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:948,-0.0232,-0.0151,0.0777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:949,-0.0232,-0.0151,0.0777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:951,0.0384,-0.0394,0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:953,0.0384,-0.0394,0.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:954,0.0642,-0.0150,0.1081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:955,0.0642,-0.0150,0.1081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:956,0.0642,-0.0150,0.1081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:956,0.0642,-0.0150,0.1081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:957,-0.0211,0.0304,0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:958,-0.0211,0.0304,0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:967,-0.0211,0.0304,0.0760,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:04:26:968,-0.0656,0.0448,-0.0135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
