
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
17:07:19:793,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:794,-0.0529,0.0213,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:795,-0.0529,0.0213,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:795,-0.0529,0.0213,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:796,-0.0926,-0.0206,-0.0848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:797,-0.0926,-0.0206,-0.0848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:813,-0.0926,-0.0206,-0.0848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:814,-0.0926,-0.0206,-0.0848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:815,-0.0679,-0.0752,-0.1035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:816,-0.0679,-0.0752,-0.1035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:816,0.0215,-0.0411,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:817,0.0215,-0.0411,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:818,0.0215,-0.0411,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:819,0.0091,-0.0728,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:819,0.0091,-0.0728,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:820,0.0091,-0.0728,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:821,0.0091,-0.0728,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:821,-0.0500,-0.0772,0.1020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:822,-0.0500,-0.0772,0.1020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:823,-0.0500,-0.0772,0.1020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:824,-0.0120,-0.0161,0.1464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:825,-0.0120,-0.0161,0.1464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:827,-0.0120,-0.0161,0.1464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:828,0.0019,0.0350,0.1442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:829,0.0019,0.0350,0.1442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:836,0.0019,0.0350,0.1442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:837,0.0016,0.0343,-0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:838,0.0016,0.0343,-0.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:839,0.0036,-0.0503,-0.1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:840,0.0036,-0.0503,-0.1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:840,0.0036,-0.0503,-0.1138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:842,-0.0723,-0.0413,-0.0428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:843,-0.0723,-0.0413,-0.0428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
17:07:19:844,-0.0723,-0.0413,-0.0428,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:844,-0.0723,-0.0413,-0.0428,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:849,0.0254,0.1116,-0.0436,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:851,0.0254,0.1116,-0.0436,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:852,0.0254,0.1116,-0.0436,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:853,0.0310,0.0721,-0.0002,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:853,0.0310,0.0721,-0.0002,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:854,0.0310,0.0721,-0.0002,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:858,0.0310,0.0721,-0.0002,0.0000,0.0000,0.0000,-3.5065,-15.3976,18.8705,
17:07:19:859,0.0310,0.0721,-0.0002,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:859,0.0069,0.1189,-0.0109,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:860,0.0069,0.1189,-0.0109,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:861,0.0069,0.1189,-0.0109,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:862,-0.1009,-0.0425,-0.0226,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:864,-0.1009,-0.0425,-0.0226,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:867,-0.1009,-0.0425,-0.0226,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:867,-0.0891,-0.0181,-0.0296,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:869,-0.0891,-0.0181,-0.0296,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:872,-0.0891,-0.0181,-0.0296,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:873,-0.0046,0.0053,0.0426,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:877,-0.0046,0.0053,0.0426,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:878,-0.0350,-0.0012,0.0430,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:879,-0.0350,-0.0012,0.0430,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:880,-0.0350,-0.0012,0.0430,-0.0004,-0.0093,-0.0029,-3.5065,-15.3976,18.8705,
17:07:19:881,-0.0350,-0.0012,0.0430,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:883,-0.0350,-0.0012,0.0430,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:883,-0.0198,-0.0303,0.0050,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:884,-0.0198,-0.0303,0.0050,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:887,-0.0198,-0.0303,0.0050,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:888,0.0001,-0.0936,0.0077,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:889,0.0001,-0.0936,0.0077,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:892,0.0001,-0.0936,0.0077,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:893,0.0412,-0.0984,0.0353,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:895,0.0412,-0.0984,0.0353,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:898,0.0412,-0.0984,0.0353,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:899,0.0536,-0.0524,0.0317,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:900,0.0536,-0.0524,0.0317,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:903,0.0536,-0.0524,0.0317,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:903,0.0006,0.0167,0.1076,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:904,0.0006,0.0167,0.1076,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:909,-0.0636,-0.0443,0.0616,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:913,-0.0636,-0.0443,0.0616,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:914,-0.0636,-0.0443,0.0616,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:915,-0.0636,-0.0443,0.0616,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:916,-0.0063,-0.0764,-0.0076,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:917,-0.0063,-0.0764,-0.0076,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:918,-0.0063,-0.0764,-0.0076,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:919,0.0411,-0.0869,-0.0372,-0.0004,-0.0093,-0.0029,-2.5436,-14.9002,20.0058,
17:07:19:920,0.0411,-0.0869,-0.0372,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:922,0.0411,-0.0869,-0.0372,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:924,0.0609,-0.0998,-0.0368,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:925,0.0609,-0.0998,-0.0368,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:927,0.0609,-0.0998,-0.0368,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:928,0.0557,0.0761,0.0608,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:929,0.0557,0.0761,0.0608,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:930,0.0557,0.0761,0.0608,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:934,0.0557,0.0761,0.0608,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:935,0.0068,0.0818,0.1063,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:936,0.0068,0.0818,0.1063,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:937,0.0068,0.0818,0.1063,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:938,-0.0842,0.0507,0.0469,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:941,-0.0842,0.0507,0.0469,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:943,-0.0842,0.0507,0.0469,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:944,-0.0501,-0.0072,-0.0462,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:945,-0.0501,-0.0072,-0.0462,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:948,-0.0501,-0.0072,-0.0462,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:949,0.0133,-0.0406,-0.0673,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:950,0.0133,-0.0406,-0.0673,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:953,0.0133,-0.0406,-0.0673,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:955,-0.0414,-0.1104,-0.0228,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:957,-0.0414,-0.1104,-0.0228,-0.0046,-0.0076,-0.0002,-2.5436,-14.9002,20.0058,
17:07:19:959,-0.0414,-0.1104,-0.0228,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:960,-0.0414,-0.1104,-0.0228,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:961,-0.0578,-0.0085,0.0642,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:962,-0.0578,-0.0085,0.0642,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:965,-0.0578,-0.0085,0.0642,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:966,0.0113,0.0641,0.1149,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:967,0.0113,0.0641,0.1149,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:968,0.0113,0.0641,0.1149,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:969,-0.0663,0.0138,0.1059,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:971,-0.0663,0.0138,0.1059,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:973,-0.0663,0.0138,0.1059,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:975,-0.0496,-0.0090,0.0448,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:976,-0.0496,-0.0090,0.0448,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:979,-0.0496,-0.0090,0.0448,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:980,-0.0616,-0.0302,-0.0276,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:981,-0.0616,-0.0302,-0.0276,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:983,-0.0616,-0.0302,-0.0276,-0.0046,-0.0076,-0.0002,-3.3005,-17.0471,19.7006,
17:07:19:984,-0.0616,-0.0302,-0.0276,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:985,-0.0119,0.0285,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:986,-0.0119,0.0285,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:988,-0.0119,0.0285,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:989,-0.0492,-0.0332,-0.0121,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:993,-0.0492,-0.0332,-0.0121,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:995,-0.0578,0.0008,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:995,-0.0578,0.0008,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:19:999,-0.0578,0.0008,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:000,-0.0578,0.0008,-0.0162,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:000,0.0229,-0.0769,0.0093,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:001,0.0229,-0.0769,0.0093,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:003,0.0229,-0.0769,0.0093,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:004,0.0875,-0.1746,-0.0165,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:006,0.0875,-0.1746,-0.0165,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:010,0.0875,-0.1746,-0.0165,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:011,0.0959,-0.1018,0.0563,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:013,0.0959,-0.1018,0.0563,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:014,0.0427,-0.0527,0.1366,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:015,0.0427,-0.0527,0.1366,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:016,0.0427,-0.0527,0.1366,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:019,0.0427,-0.0527,0.1366,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:019,-0.0371,0.0821,0.1271,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:020,-0.0371,0.0821,0.1271,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
17:07:20:027,-0.0371,0.0821,0.1271,0.0023,-0.0025,-0.0046,-3.3005,-17.0471,19.7006,
