
time;ax;ay;az;wx;wy;wz;Bx;By;Bz;
17:10:29:288;0,0376;0,0078;0,2643;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:302;0,0259;-0,0068;0,0943;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:304;0,0310;0,0430;0,0179;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:305;-0,0069;0,0784;-0,0705;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:306;-0,0066;0,0662;-0,1659;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:308;0,0319;0,0092;-0,1464;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:311;0,0130;-0,0283;-0,0766;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:322;-0,0031;-0,0320;-0,0426;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:323;-0,0050;-0,0527;0,0917;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:324;-0,0024;0,0411;0,1492;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:331;-0,0237;0,0915;0,0511;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:336;0,0170;0,0482;0,0414;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:341;0,0145;-0,0001;0,0318;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:344;0,0145;-0,0001;0,0318;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:345;0,0145;-0,0001;0,0318;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:346;0,0145;-0,0001;0,0318;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:347;0,0409;0,0069;-0,0519;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:10:29:350;0,0409;0,0069;-0,0519;-0,0032;0,0066;-0,0028;0,0000;0,0000;0,0000;
17:10:29:351;0,0244;-0,0384;-0,0804;-0,0032;0,0066;-0,0028;0,0000;0,0000;0,0000;
17:10:29:354;0,0320;0,0219;-0,1111;-0,0032;0,0066;-0,0028;0,0000;0,0000;0,0000;
17:10:29:359;0,0180;0,0584;0,0304;-0,0032;0,0066;-0,0028;0,0000;0,0000;0,0000;
17:10:29:364;0,0160;-0,0057;0,0474;-0,0032;0,0066;-0,0028;0,0000;0,0000;0,0000;
17:10:29:368;0,0308;-0,0436;0,0405;-0,0032;0,0066;-0,0028;0,0000;0,0000;0,0000;
17:10:29:372;0,0308;-0,0436;0,0405;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:374;0,0194;-0,0243;0,0790;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:379;-0,0040;0,0353;0,0290;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:383;-0,0203;0,0159;-0,0186;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:390;-0,0102;0,0419;-0,0734;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:393;0,0070;0,0536;-0,0731;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:397;-0,0046;0,0344;-0,0704;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:403;-0,0259;-0,0804;-0,0941;-0,0032;0,0066;-0,0028;10,2997;0,9369;22,0001;
17:10:29:403;-0,0259;-0,0804;-0,0941;-0,0032;0,0093;0,0017;10,2997;0,9369;22,0001;
17:10:29:409;-0,0280;-0,0706;-0,0125;-0,0032;0,0093;0,0017;10,2997;0,9369;22,0001;
17:10:29:411;-0,0280;-0,0706;-0,0125;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:414;0,0203;-0,0201;0,0452;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:415;0,0203;-0,0201;0,0452;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:415;0,0203;-0,0201;0,0452;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:417;0,0203;-0,0201;0,0452;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:419;0,0203;-0,0201;0,0452;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:421;0,0136;0,0206;0,0406;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:423;-0,0293;0,0706;0,0550;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:428;0,0021;0,0601;0,0071;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:434;0,0141;0,0118;-0,0926;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:440;-0,0381;-0,0169;-0,0918;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:442;-0,0140;0,0212;-0,0530;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:448;0,0102;0,0093;-0,0262;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:453;0,0055;0,0073;0,0454;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:458;-0,0015;0,0525;0,0166;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:463;0,0130;0,0380;0,0309;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:467;0,0155;-0,0026;0,0640;-0,0032;0,0093;0,0017;11,2305;-0,9476;21,9330;
17:10:29:470;0,0155;-0,0026;0,0640;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:474;-0,0249;-0,0049;0,0041;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:476;0,0015;-0,0072;-0,0314;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:482;0,0015;-0,0072;-0,0314;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:483;0,0015;-0,0072;-0,0314;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:484;0,0015;-0,0072;-0,0314;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:484;0,0112;0,0000;-0,0453;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:487;0,0208;0,0356;0,0501;-0,0011;0,0055;0,0012;11,2305;-0,9476;21,9330;
17:10:29:489;0,0208;0,0356;0,0501;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:494;-0,0741;-0,0144;0,0190;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:497;-0,0377;0,0118;-0,0476;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:502;0,0457;0,1114;0,0264;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:507;0,0406;0,1057;0,0310;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:511;-0,0236;0,0170;-0,0451;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:516;-0,0327;-0,0470;-0,0921;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:523;-0,0178;-0,0486;-0,0507;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:527;-0,0223;-0,0526;-0,0098;-0,0011;0,0055;0,0012;10,7269;-0,1740;21,4172;
17:10:29:531;-0,0223;-0,0526;-0,0098;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:532;-0,0125;-0,0567;0,0259;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:540;0,0116;-0,0516;0,0472;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:542;0,0187;0,0720;0,1015;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:546;0,0256;0,1136;0,0720;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:551;0,0256;0,1136;0,0720;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:552;0,0256;0,1136;0,0720;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:554;0,0256;0,1136;0,0720;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:555;0,0256;0,1136;0,0720;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:557;0,0087;0,0860;-0,0830;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:558;0,0823;0,0326;-0,0965;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:562;0,0983;0,0156;-0,0008;-0,0018;0,0039;-0,0013;10,7269;-0,1740;21,4172;
17:10:29:566;0,0983;0,0156;-0,0008;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:568;0,0123;0,0538;-0,1003;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:573;0,0222;-0,0103;-0,1513;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:575;0,0393;-0,0379;0,0047;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:580;-0,0082;-0,0059;0,0951;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:585;-0,0101;-0,0078;0,0590;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:591;0,0571;-0,0575;0,0257;-0,0018;0,0039;-0,0013;10,0128;-0,2472;23,6801;
17:10:29:595;0,0571;-0,0575;0,0257;-0,0013;0,0071;-0,0009;10,0128;-0,2472;23,6801;
17:10:29:596;0,0407;-0,0523;0,1041;-0,0013;0,0071;-0,0009;10,0128;-0,2472;23,6801;
17:10:29:599;-0,0255;0,0287;0,0276;-0,0013;0,0071;-0,0009;10,0128;-0,2472;23,6801;
17:10:29:603;-0,0255;0,0287;0,0276;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:608;0,0038;0,0757;-0,0957;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:610;0,0236;0,0630;-0,0423;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:615;-0,0138;0,0008;-0,0795;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:619;0,0535;-0,0084;0,0451;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:621;0,0535;-0,0084;0,0451;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:622;0,0535;-0,0084;0,0451;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:624;0,0535;-0,0084;0,0451;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:625;0,1801;0,0749;0,1593;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:629;0,0946;0,1124;0,1232;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:634;0,0028;0,0071;-0,0003;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:639;0,0426;-0,0689;0,0339;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:646;0,0823;-0,0610;0,0300;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:649;-0,0513;-0,0222;0,0169;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:657;-0,1055;-0,0193;0,0158;-0,0013;0,0071;-0,0009;10,4355;-0,2090;22,2687;
17:10:29:660;-0,1055;-0,0193;0,0158;-0,0041;0,0342;0,0041;10,4355;-0,2090;22,2687;
17:10:29:661;-0,0097;0,0332;0,0549;-0,0041;0,0342;0,0041;10,4355;-0,2090;22,2687;
17:10:29:664;0,0281;0,0161;-0,0488;-0,0041;0,0342;0,0041;10,4355;-0,2090;22,2687;
17:10:29:669;-0,0390;-0,0389;-0,0735;-0,0041;0,0342;0,0041;10,4355;-0,2090;22,2687;
17:10:29:675;-0,0154;-0,0555;-0,0172;-0,0041;0,0342;0,0041;10,4355;-0,2090;22,2687;
17:10:29:679;0,0175;0,0182;-0,0113;-0,0041;0,0342;0,0041;10,4355;-0,2090;22,2687;
17:10:29:681;0,0175;0,0182;-0,0113;-0,0041;0,0342;0,0041;10,2356;-0,4074;22,3083;
17:10:29:684;-0,0141;0,1341;-0,0553;-0,0041;0,0342;0,0041;10,2356;-0,4074;22,3083;
