
time;ax;ay;az;wx;wy;wz;Bx;By;Bz;
17:02:37:370;0,0272;-0,0327;0,1862;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:383;0,0774;0,0988;0,0401;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:384;0,0536;-0,0667;0,0018;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:384;-0,0324;0,0431;-0,0818;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:385;-0,0682;0,0216;-0,0865;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:386;0,0729;-0,0357;-0,1557;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:395;0,0490;0,1203;-0,0382;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:397;-0,0249;0,0395;0,0625;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:399;-0,0224;0,0880;-0,0665;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:406;0,0399;0,0645;0,0748;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:409;-0,0079;0,0936;0,0103;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:414;0,0088;0,0629;-0,0279;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:421;0,0183;0,0060;-0,0398;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:423;0,0183;0,0060;-0,0398;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:424;0,0183;0,0060;-0,0398;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:425;0,0183;0,0060;-0,0398;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:02:37:426;0,0183;0,0060;-0,0398;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:427;0,0304;0,0737;-0,0993;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:429;0,0399;-0,0139;-0,0106;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:433;-0,0056;0,0468;-0,0606;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:439;-0,0150;0,0453;0,0163;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:443;0,0186;-0,0233;0,0212;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:449;0,0474;0,0374;0,0453;-0,0056;0,0021;-0,0027;0,0000;0,0000;0,0000;
17:02:37:450;0,0474;0,0374;0,0453;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:457;-0,0146;-0,0745;0,0192;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:462;-0,0023;-0,0212;-0,0260;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:464;0,0099;-0,0613;0,0675;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:472;0,0053;-0,0727;0,0294;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:475;-0,0230;0,0379;-0,0301;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:478;-0,0322;0,0430;-0,0107;-0,0056;0,0021;-0,0027;6,8939;-1,1124;20,0241;
17:02:37:483;-0,0322;0,0430;-0,0107;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:485;0,0182;-0,0308;0,0373;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:490;-0,0198;0,0461;-0,0247;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:491;-0,0198;0,0461;-0,0247;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:492;-0,0198;0,0461;-0,0247;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:494;-0,0198;0,0461;-0,0247;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:495;-0,0198;0,0461;-0,0247;-0,0125;0,0055;-0,0061;6,8939;-1,1124;20,0241;
17:02:37:495;-0,0198;0,0461;-0,0247;-0,0125;0,0055;-0,0061;6,3660;-0,8087;21,3196;
17:02:37:497;-0,0004;-0,0325;-0,0268;-0,0125;0,0055;-0,0061;6,3660;-0,8087;21,3196;
17:02:37:498;-0,0001;0,0231;-0,0505;-0,0125;0,0055;-0,0061;6,3660;-0,8087;21,3196;
