
time;ax;ay;az;wx;wy;wz;Bx;By;Bz;
17:04:25:827;0,0183;0,0518;0,1930;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:841;0,0735;0,0729;0,1403;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:843;0,1168;0,0414;-0,0033;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:844;0,0359;0,0459;-0,0914;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:846;-0,0138;0,0798;-0,1531;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:847;0,0180;0,0424;-0,1763;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:849;0,0618;0,0391;-0,0534;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:859;0,0673;0,0336;0,0621;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:860;0,0562;0,0065;0,1058;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:865;-0,0363;-0,0688;0,0944;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:868;-0,0259;0,0087;0,0542;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:875;-0,0109;-0,0195;0,0832;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:878;-0,0109;-0,0195;0,0832;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:879;-0,0109;-0,0195;0,0832;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:880;-0,0109;-0,0195;0,0832;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:881;0,0304;-0,0669;-0,0049;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:04:25:883;0,0304;-0,0669;-0,0049;-0,0121;0,0159;-0,0067;0,0000;0,0000;0,0000;
17:04:25:884;0,0765;-0,0234;-0,0069;-0,0121;0,0159;-0,0067;0,0000;0,0000;0,0000;
17:04:25:885;0,0765;-0,0234;-0,0069;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:891;0,0248;-0,0612;0,0033;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:892;0,0210;-0,0436;-0,0126;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:898;-0,0399;0,0144;-0,0355;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:903;-0,0101;0,0412;-0,0251;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:909;0,0549;0,0891;0,0232;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:912;0,0219;0,0819;-0,0027;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:917;-0,0345;-0,0131;-0,0591;-0,0121;0,0159;-0,0067;8,1543;0,5173;22,3022;
17:04:25:925;-0,0345;-0,0131;-0,0591;-0,0121;0,0159;-0,0067;8,5922;-1,3367;21,4874;
17:04:25:927;-0,0240;-0,0171;-0,0248;-0,0121;0,0159;-0,0067;8,5922;-1,3367;21,4874;
17:04:25:929;0,0147;0,0336;0,0280;-0,0121;0,0159;-0,0067;8,5922;-1,3367;21,4874;
17:04:25:933;0,0198;0,0055;-0,0265;-0,0121;0,0159;-0,0067;8,5922;-1,3367;21,4874;
17:04:25:937;0,0154;-0,0342;0,0050;-0,0121;0,0159;-0,0067;8,5922;-1,3367;21,4874;
17:04:25:944;0,0154;-0,0342;0,0050;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:946;-0,0032;-0,0403;0,0030;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:948;-0,0032;-0,0403;0,0030;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:949;-0,0032;-0,0403;0,0030;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:950;-0,0032;-0,0403;0,0030;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:952;-0,0032;-0,0403;0,0030;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:953;-0,0050;-0,0369;0,0675;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:954;0,0099;-0,0644;0,0673;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
17:04:25:960;0,0602;-0,0064;0,0292;-0,0127;0,0190;-0,0044;8,5922;-1,3367;21,4874;
