
time;ax;ay;az;wx;wy;wz;Bx;By;Bz;
17:06:26:608;-0,0217;-0,0395;0,0237;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:611;-0,0163;-0,0158;-0,0764;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:612;0,0464;0,0320;-0,0569;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:614;-0,0176;0,0632;-0,1473;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:616;0,0166;0,0755;-0,1324;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:620;0,0532;0,0690;-0,0504;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:623;0,0204;-0,0234;-0,0164;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:624;0,0068;-0,0513;-0,0685;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:626;-0,0092;-0,1127;0,0063;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:631;-0,0300;-0,0236;0,1095;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:642;-0,0172;0,0244;-0,0408;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:643;-0,0172;0,0244;-0,0408;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:644;-0,0172;0,0244;-0,0408;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:644;-0,0172;0,0244;-0,0408;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:645;-0,0141;0,0267;-0,0332;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:645;0,0057;0,0983;-0,0256;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:650;0,0062;0,0553;-0,1042;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;
17:06:26:651;0,0062;0,0553;-0,1042;-0,0070;0,0162;-0,0005;0,0000;0,0000;0,0000;
17:06:26:655;0,0139;-0,0257;-0,1085;-0,0070;0,0162;-0,0005;0,0000;0,0000;0,0000;
17:06:26:660;0,0240;-0,0298;-0,1024;-0,0070;0,0162;-0,0005;0,0000;0,0000;0,0000;
17:06:26:663;0,0240;-0,0298;-0,1024;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:666;0,0223;-0,0170;0,0083;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:670;-0,0078;0,1096;0,0278;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:675;0,0146;0,0617;-0,0146;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:680;0,0058;-0,0049;0,0288;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:685;-0,0550;0,0477;-0,0706;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:690;-0,0207;0,0357;-0,0411;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:698;0,0014;0,0286;-0,0523;-0,0070;0,0162;-0,0005;9,8358;-0,6088;22,3480;
17:06:26:702;0,0014;0,0286;-0,0523;-0,0070;0,0162;-0,0005;9,3170;-2,9495;23,0698;
17:06:26:704;-0,0288;0,0359;-0,1203;-0,0070;0,0162;-0,0005;9,3170;-2,9495;23,0698;
17:06:26:705;-0,0288;0,0359;-0,1203;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:706;-0,0090;-0,0088;-0,0619;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:711;-0,0090;-0,0088;-0,0619;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:713;-0,0090;-0,0088;-0,0619;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:715;-0,0090;-0,0088;-0,0619;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:717;-0,0090;-0,0088;-0,0619;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:718;-0,0629;-0,0175;-0,0563;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:720;-0,0689;-0,0356;-0,1527;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:721;-0,0133;-0,0107;-0,0704;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:727;-0,0414;0,0210;0,0159;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:729;0,0162;-0,0097;0,0302;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
17:06:26:736;-0,0193;-0,0213;0,0277;-0,0089;0,0175;-0,0010;9,3170;-2,9495;23,0698;
